Matrix,Mode,ChunkSize,Threads,Time_ms
twotone.mtx,dynamic,1000,1,1.338005
twotone.mtx,dynamic,1000,2,1.266003
twotone.mtx,dynamic,1000,4,0.838995
twotone.mtx,dynamic,1000,8,0.539064
twotone.mtx,dynamic,1000,16,0.322104
twotone.mtx,dynamic,1000,32,0.313044
twotone.mtx,dynamic,1000,64,9.246826
twotone.mtx,guided,1,1,1.333952
twotone.mtx,guided,1,2,2.171993
twotone.mtx,guided,1,4,1.091003
twotone.mtx,guided,1,8,0.603914
twotone.mtx,guided,1,16,0.347853
twotone.mtx,guided,1,32,0.380039
twotone.mtx,guided,1,64,9.671211
twotone.mtx,guided,10,1,1.406908
twotone.mtx,guided,10,2,1.284122
twotone.mtx,guided,10,4,1.089096
twotone.mtx,guided,10,8,0.597000
twotone.mtx,guided,10,16,0.380039
twotone.mtx,guided,10,32,0.343084
twotone.mtx,guided,10,64,9.593010
twotone.mtx,guided,100,1,1.324892
twotone.mtx,guided,100,2,2.212048
twotone.mtx,guided,100,4,1.025915
twotone.mtx,guided,100,8,0.597000
twotone.mtx,guided,100,16,0.320911
twotone.mtx,guided,100,32,0.293970
twotone.mtx,guided,100,64,9.691000
twotone.mtx,guided,1000,1,1.348972
twotone.mtx,guided,1000,2,2.027035
twotone.mtx,guided,1000,4,1.008987
twotone.mtx,guided,1000,8,0.569105
twotone.mtx,guided,1000,16,0.363827
twotone.mtx,guided,1000,32,0.387907
twotone.mtx,guided,1000,64,0.292063
tmt_unsym.mtx,seq,NA,1,7.251978
tmt_unsym.mtx,static,1,1,7.313013
tmt_unsym.mtx,static,1,2,14.924049
tmt_unsym.mtx,static,1,4,10.056019
tmt_unsym.mtx,static,1,8,9.641171
tmt_unsym.mtx,static,1,16,7.142067
tmt_unsym.mtx,static,1,32,6.429911
tmt_unsym.mtx,static,1,64,13.173819
tmt_unsym.mtx,static,10,1,7.354021
tmt_unsym.mtx,static,10,2,8.038998
tmt_unsym.mtx,static,10,4,8.408070
tmt_unsym.mtx,static,10,8,7.236004
tmt_unsym.mtx,static,10,16,5.119801
tmt_unsym.mtx,static,10,32,2.825022
tmt_unsym.mtx,static,10,64,11.116028
tmt_unsym.mtx,static,100,1,7.230043
tmt_unsym.mtx,static,100,2,7.351875
tmt_unsym.mtx,static,100,4,5.766153
tmt_unsym.mtx,static,100,8,3.849983
tmt_unsym.mtx,static,100,16,2.067089
tmt_unsym.mtx,static,100,32,1.425028
tmt_unsym.mtx,static,100,64,12.475967
tmt_unsym.mtx,static,1000,1,7.284880
tmt_unsym.mtx,static,1000,2,5.925179
tmt_unsym.mtx,static,1000,4,5.209923
tmt_unsym.mtx,static,1000,8,3.205776
tmt_unsym.mtx,static,1000,16,1.917124
tmt_unsym.mtx,static,1000,32,1.203060
tmt_unsym.mtx,static,1000,64,9.902954
tmt_unsym.mtx,dynamic,1,1,22.745132
tmt_unsym.mtx,dynamic,1,2,63.107014
tmt_unsym.mtx,dynamic,1,4,129.033089
tmt_unsym.mtx,dynamic,1,8,111.926794
tmt_unsym.mtx,dynamic,1,16,86.845160
tmt_unsym.mtx,dynamic,1,32,75.397015
tmt_unsym.mtx,dynamic,1,64,64.173222
tmt_unsym.mtx,dynamic,10,1,8.438110
tmt_unsym.mtx,dynamic,10,2,12.504816
tmt_unsym.mtx,dynamic,10,4,15.032053
tmt_unsym.mtx,dynamic,10,8,14.636993
tmt_unsym.mtx,dynamic,10,16,10.198116
tmt_unsym.mtx,dynamic,10,32,7.740021
tmt_unsym.mtx,dynamic,10,64,14.109135
tmt_unsym.mtx,dynamic,100,1,7.128000
tmt_unsym.mtx,dynamic,100,2,7.163048
tmt_unsym.mtx,dynamic,100,4,5.995035
tmt_unsym.mtx,dynamic,100,8,4.139900
tmt_unsym.mtx,dynamic,100,16,2.352953
tmt_unsym.mtx,dynamic,100,32,1.590967
tmt_unsym.mtx,dynamic,100,64,14.227867
tmt_unsym.mtx,dynamic,1000,1,6.998062
tmt_unsym.mtx,dynamic,1000,2,4.999876
tmt_unsym.mtx,dynamic,1000,4,4.540920
tmt_unsym.mtx,dynamic,1000,8,2.650023
tmt_unsym.mtx,dynamic,1000,16,1.573086
tmt_unsym.mtx,dynamic,1000,32,1.387119
tmt_unsym.mtx,dynamic,1000,64,1.215219
tmt_unsym.mtx,guided,1,1,6.953001
tmt_unsym.mtx,guided,1,2,5.678892
tmt_unsym.mtx,guided,1,4,4.931211
tmt_unsym.mtx,guided,1,8,2.720833
tmt_unsym.mtx,guided,1,16,1.655102
tmt_unsym.mtx,guided,1,32,1.342058
tmt_unsym.mtx,guided,1,64,10.426044
tmt_unsym.mtx,guided,10,1,6.973982
tmt_unsym.mtx,guided,10,2,5.522966
tmt_unsym.mtx,guided,10,4,4.642010
tmt_unsym.mtx,guided,10,8,2.599001
tmt_unsym.mtx,guided,10,16,1.485109
tmt_unsym.mtx,guided,10,32,1.337051
tmt_unsym.mtx,guided,10,64,9.788036
tmt_unsym.mtx,guided,100,1,7.194996
tmt_unsym.mtx,guided,100,2,5.213976
tmt_unsym.mtx,guided,100,4,4.431009
tmt_unsym.mtx,guided,100,8,2.324820
tmt_unsym.mtx,guided,100,16,1.537085
tmt_unsym.mtx,guided,100,32,1.345873
tmt_unsym.mtx,guided,100,64,9.618998
tmt_unsym.mtx,guided,1000,1,6.897211
tmt_unsym.mtx,guided,1000,2,6.052971
tmt_unsym.mtx,guided,1000,4,4.105091
tmt_unsym.mtx,guided,1000,8,2.394199
tmt_unsym.mtx,guided,1000,16,1.672983
tmt_unsym.mtx,guided,1000,32,1.306057
tmt_unsym.mtx,guided,1000,64,14.228106
atmosmodl.mtx,seq,NA,1,14.379025
atmosmodl.mtx,static,1,1,14.489174
atmosmodl.mtx,static,1,2,27.138948
atmosmodl.mtx,static,1,4,19.348860
atmosmodl.mtx,static,1,8,16.901016
atmosmodl.mtx,static,1,16,13.029099
atmosmodl.mtx,static,1,32,11.124849
atmosmodl.mtx,static,1,64,20.904064
atmosmodl.mtx,static,10,1,14.565945
atmosmodl.mtx,static,10,2,15.012980
atmosmodl.mtx,static,10,4,14.091015
atmosmodl.mtx,static,10,8,11.969090
atmosmodl.mtx,static,10,16,8.885860
atmosmodl.mtx,static,10,32,5.444050
atmosmodl.mtx,static,10,64,3.761053
atmosmodl.mtx,static,100,1,14.473915
atmosmodl.mtx,static,100,2,10.437012
atmosmodl.mtx,static,100,4,9.042978
atmosmodl.mtx,static,100,8,6.375074
atmosmodl.mtx,static,100,16,3.901958
atmosmodl.mtx,static,100,32,3.369808
atmosmodl.mtx,static,100,64,9.417057
atmosmodl.mtx,static,1000,1,14.612913
atmosmodl.mtx,static,1000,2,8.588791
atmosmodl.mtx,static,1000,4,8.111000
atmosmodl.mtx,static,1000,8,5.528927
atmosmodl.mtx,static,1000,16,3.009796
atmosmodl.mtx,static,1000,32,2.764940
atmosmodl.mtx,static,1000,64,13.426781
atmosmodl.mtx,dynamic,1,1,42.853117
atmosmodl.mtx,dynamic,1,2,109.780073
atmosmodl.mtx,dynamic,1,4,228.451014
atmosmodl.mtx,dynamic,1,8,274.014950
atmosmodl.mtx,dynamic,1,16,179.699898
atmosmodl.mtx,dynamic,1,32,307.517052
atmosmodl.mtx,dynamic,1,64,350.812197
atmosmodl.mtx,dynamic,10,1,16.829967
atmosmodl.mtx,dynamic,10,2,22.246122
atmosmodl.mtx,dynamic,10,4,35.846949
atmosmodl.mtx,dynamic,10,8,25.012016
atmosmodl.mtx,dynamic,10,16,17.487049
