Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
twotone.mtx,dynamic,1000,8,1362737693,3.42802e+09,629236,2.48607e+06,21343.4
twotone.mtx,dynamic,1000,16,1404981837,3.42997e+09,600867,2.41659e+06,22405.4
twotone.mtx,dynamic,1000,32,1.55675e+09,3.43718e+09,600542,2.3719e+06,23848.6
twotone.mtx,dynamic,1000,64,7.95707e+09,3.74278e+09,589745,2.28972e+06,23921.8
twotone.mtx,dynamic,10000,1,1336585853,3.42698e+09,430673,2.54682e+06,11024.6
twotone.mtx,dynamic,10000,2,1342805347,3.42719e+09,558072,2.51474e+06,14306.4
twotone.mtx,dynamic,10000,4,1.35143e+09,3.42751e+09,618414,2520665,17812.2
twotone.mtx,dynamic,10000,8,1.36382e+09,3.42807e+09,623817,2463703,21286.8
twotone.mtx,dynamic,10000,16,1.40793e+09,3.43012e+09,638873,2.42725e+06,23262.6
twotone.mtx,dynamic,10000,32,1.56041e+09,3.43742e+09,589416,2.36288e+06,22214.2
twotone.mtx,dynamic,10000,64,6865605674,3690700813,612689,2290859,23881.8
twotone.mtx,guided,1,1,1336022540,3.42698e+09,437925,2.50762e+06,11426.2
twotone.mtx,guided,1,2,1.34296e+09,3.42722e+09,577131,2.55307e+06,14591.4
twotone.mtx,guided,1,4,1.35055e+09,3.4275e+09,620482,2.5226e+06,17854.2
twotone.mtx,guided,1,8,1.36299e+09,3.42806e+09,635314,2477656,21563
twotone.mtx,guided,1,16,1.40445e+09,3430001929,629017,2430378,23162.4
twotone.mtx,guided,1,32,2.35632e+09,3475424457,621403,2.36112e+06,22651.8
twotone.mtx,guided,1,64,6.08405e+09,3.65342e+09,614245,2.29399e+06,24471.6
twotone.mtx,guided,10,1,1.33459e+09,3.42698e+09,427499,2.52438e+06,11166.8
twotone.mtx,guided,10,2,1.3428e+09,3.42721e+09,565614,2.5117e+06,14206.8
twotone.mtx,guided,10,4,1.35268e+09,3.42747e+09,703978,2.53121e+06,20473.2
twotone.mtx,guided,10,8,1.36263e+09,3.42801e+09,646617,2.44554e+06,21234.8
twotone.mtx,guided,10,16,1.40692e+09,3.43012e+09,619549,2403754,23366.6
twotone.mtx,guided,10,32,1.55539e+09,3.43717e+09,614532,2.31755e+06,23402.8
twotone.mtx,guided,10,64,8268131367,3757935982,603246,2.28382e+06,23954.2
twotone.mtx,guided,100,1,1336739837,3.42698e+09,484885,2.49617e+06,12344.8
twotone.mtx,guided,100,2,1343287070,3.4272e+09,592900,2.54484e+06,14332.4
twotone.mtx,guided,100,4,1348776237,3427461156,628344,2.51926e+06,18398.2
twotone.mtx,guided,100,8,1.36396e+09,3.42807e+09,639088,2.4543e+06,21766.6
twotone.mtx,guided,100,16,1.40203e+09,3.42983e+09,645089,2.39179e+06,23530.4
twotone.mtx,guided,100,32,1.55448e+09,3.43701e+09,645417,2.36683e+06,24550.2
twotone.mtx,guided,100,64,5.00502e+09,3.60176e+09,660519,2.31125e+06,25688.2
twotone.mtx,guided,1000,1,1.33711e+09,3.42698e+09,517470,2510563,12031.4
twotone.mtx,guided,1000,2,1.34267e+09,3.42721e+09,573231,2.52826e+06,14432.6
twotone.mtx,guided,1000,4,1348817775,3.42744e+09,628489,2.4759e+06,18631.8
twotone.mtx,guided,1000,8,1.36332e+09,3.42805e+09,636495,2475920,21364.8
twotone.mtx,guided,1000,16,1.397e+09,3.42968e+09,650351,2.37126e+06,24388.8
twotone.mtx,guided,1000,32,1.55181e+09,3.437e+09,622096,2.33014e+06,24068.4
twotone.mtx,guided,1000,64,6.17268e+09,3.65754e+09,618919,2.25248e+06,24053.2
twotone.mtx,guided,10000,1,1335773404,3.42698e+09,474693,2.51624e+06,12333.2
twotone.mtx,guided,10000,2,1.34761e+09,3.42722e+09,588824,2.50551e+06,14701.8
twotone.mtx,guided,10000,4,1.34755e+09,3427452675,637854,2.4965e+06,19066.2
twotone.mtx,guided,10000,8,1363605086,3.42807e+09,621831,2.47971e+06,20477.4
twotone.mtx,guided,10000,16,1401137025,3.42992e+09,617272,2.39812e+06,23963
twotone.mtx,guided,10000,32,1.55259e+09,3.43702e+09,592149,2.34725e+06,22116.2
twotone.mtx,guided,10000,64,6861679346,3.69062e+09,612481,2.26305e+06,25267
