Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
atmosmodl.mtx,dynamic,100,16,10644351858,2.70489e+10,1.12768e+07,2.50087e+07,249537
atmosmodl.mtx,dynamic,100,32,1.17462e+10,2.71243e+10,1.13221e+07,25002857,269848
atmosmodl.mtx,dynamic,100,64,19548184048,27309717542,1.11952e+07,2.47017e+07,251802
atmosmodl.mtx,dynamic,1000,1,9.98357e+09,26995099400,1.05655e+07,2.49337e+07,181239
atmosmodl.mtx,dynamic,1000,2,9.99662e+09,2.69998e+10,1.07344e+07,26519816,155406
atmosmodl.mtx,dynamic,1000,4,1.00425e+10,2.7003e+10,1.07462e+07,2.91507e+07,102674
atmosmodl.mtx,dynamic,1000,8,1.01642e+10,2.70144e+10,1.06428e+07,28791175,101989
atmosmodl.mtx,dynamic,1000,16,1.05739e+10,2.70399e+10,1.08331e+07,2.76224e+07,136588
atmosmodl.mtx,dynamic,1000,32,1.14113e+10,2.71277e+10,1.12118e+07,2.81372e+07,154982
atmosmodl.mtx,dynamic,1000,64,16980150235,2.72893e+10,1.11356e+07,27031367,166415
atmosmodl.mtx,dynamic,10000,1,9.94047e+09,2.6995e+10,1.06437e+07,2.81078e+07,108456
atmosmodl.mtx,dynamic,10000,2,1.0005e+10,26999860560,11098100,2.81636e+07,144995
atmosmodl.mtx,dynamic,10000,4,1.00592e+10,2.70052e+10,1.0591e+07,2.78663e+07,111214
atmosmodl.mtx,dynamic,10000,8,1.02087e+10,2.70185e+10,1.06742e+07,2.77138e+07,123337
atmosmodl.mtx,dynamic,10000,16,1.05663e+10,2.70401e+10,1.07498e+07,2.75287e+07,137504
atmosmodl.mtx,dynamic,10000,32,11730206981,27101738017,10694786,2.79123e+07,124545
atmosmodl.mtx,dynamic,10000,64,1.801e+10,2.72754e+10,1.05152e+07,2.72631e+07,134205
atmosmodl.mtx,guided,1,1,9918992205,2.6995e+10,1.04444e+07,28760465,88673.2
atmosmodl.mtx,guided,1,2,9973926570,26998952237,10574296,2.80939e+07,108180
atmosmodl.mtx,guided,1,4,1.00511e+10,27004092054,1.02371e+07,2.79498e+07,108305
atmosmodl.mtx,guided,1,8,10238835203,2.70194e+10,10735480,27117636,138726
atmosmodl.mtx,guided,1,16,1.04915e+10,2.70341e+10,1.04009e+07,27780787,119426
atmosmodl.mtx,guided,1,32,11444583277,2.7112e+10,10654181,2.74604e+07,134912
atmosmodl.mtx,guided,1,64,1.73813e+10,2.72792e+10,1.0327e+07,2.67051e+07,142750
atmosmodl.mtx,guided,10,1,9.96717e+09,2.6995e+10,1.08239e+07,2.74674e+07,135163
atmosmodl.mtx,guided,10,2,9.97143e+09,2.69984e+10,1.00426e+07,2.81538e+07,109742
atmosmodl.mtx,guided,10,4,10067374880,2.70051e+10,1.04673e+07,2.77744e+07,126270
atmosmodl.mtx,guided,10,8,10228707819,2.70188e+10,1.08243e+07,2.7804e+07,144321
atmosmodl.mtx,guided,10,16,1.05011e+10,27040878372,1.03429e+07,2.70328e+07,131017
atmosmodl.mtx,guided,10,32,11279474595,2.71012e+10,1.02442e+07,27321214,118680
atmosmodl.mtx,guided,10,64,1.77145e+10,2.72716e+10,10823078,2.76806e+07,155172
atmosmodl.mtx,guided,100,1,9.96594e+09,26995037925,1.07906e+07,27847200,124956
atmosmodl.mtx,guided,100,2,9987979922,2.69986e+10,1.05156e+07,2.79855e+07,124029
atmosmodl.mtx,guided,100,4,1.0045e+10,27004498704,1.02372e+07,2.82697e+07,114895
atmosmodl.mtx,guided,100,8,1.01486e+10,2.70139e+10,1.00964e+07,2.8117e+07,106623
atmosmodl.mtx,guided,100,16,10510249428,2.70441e+10,1.09758e+07,2.71495e+07,151377
atmosmodl.mtx,guided,100,32,1.13011e+10,2.71009e+10,10415819,2.72442e+07,129438
atmosmodl.mtx,guided,100,64,1.79134e+10,2.72607e+10,1.08142e+07,2.68562e+07,146203
atmosmodl.mtx,guided,1000,1,9.93684e+09,2.6995e+10,1.05758e+07,2.78946e+07,117230
atmosmodl.mtx,guided,1000,2,9.9877e+09,2.69996e+10,1.07049e+07,2.8174e+07,114567
atmosmodl.mtx,guided,1000,4,10051074584,2.70044e+10,1.04732e+07,27663911,120784
atmosmodl.mtx,guided,1000,8,10214076464,2.70157e+10,10427363,2.75324e+07,126924
atmosmodl.mtx,guided,1000,16,1.045e+10,2.70405e+10,1.0418e+07,2.74396e+07,132463
atmosmodl.mtx,guided,1000,32,1.13929e+10,2.71114e+10,1.06341e+07,2.63937e+07,157438
atmosmodl.mtx,guided,1000,64,1.91672e+10,2.72556e+10,1.03778e+07,2.7469e+07,134321
atmosmodl.mtx,guided,10000,1,9929678966,2.6995e+10,1.10015e+07,2.79881e+07,122396
atmosmodl.mtx,guided,10000,2,9.96758e+09,2.69993e+10,9.98543e+06,28015999,100610
atmosmodl.mtx,guided,10000,4,1.00937e+10,27005958818,1.12667e+07,2.74667e+07,148049
atmosmodl.mtx,guided,10000,8,1.02057e+10,27017272955,1.06229e+07,2.76805e+07,125095
atmosmodl.mtx,guided,10000,16,1.05165e+10,2.70412e+10,1.10524e+07,2.71981e+07,148904
atmosmodl.mtx,guided,10000,32,1.14242e+10,2.71144e+10,1.11975e+07,2.66581e+07,168367
atmosmodl.mtx,guided,10000,64,1.68829e+10,2.72982e+10,10977599,2.69829e+07,162283
