Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
tmt_unsym.mtx,dynamic,100,8,6.25754e+09,16426695862,4.09993e+06,9.81081e+06,105800
tmt_unsym.mtx,dynamic,100,16,6.39915e+09,1.64325e+10,4.17842e+06,1.00117e+07,109356
tmt_unsym.mtx,dynamic,100,32,8016430860,1.65081e+10,4.13301e+06,9.86914e+06,113981
tmt_unsym.mtx,dynamic,100,64,1.22869e+10,1.66867e+10,4170447,9815894,118147
tmt_unsym.mtx,dynamic,1000,1,6.13836e+09,1.64223e+10,4.2781e+06,1.01402e+07,99488
tmt_unsym.mtx,dynamic,1000,2,6204226750,1.64235e+10,4358848,1.00499e+07,107628
tmt_unsym.mtx,dynamic,1000,4,6.21239e+09,1.64247e+10,4.19049e+06,1.01317e+07,108147
tmt_unsym.mtx,dynamic,1000,8,6.26289e+09,1.64274e+10,4.16166e+06,1.00298e+07,108068
tmt_unsym.mtx,dynamic,1000,16,6.41351e+09,1.64331e+10,4199542,9.84548e+06,114335
tmt_unsym.mtx,dynamic,1000,32,7014018805,16459909646,4.09012e+06,9.85802e+06,110207
tmt_unsym.mtx,dynamic,1000,64,11001226638,16618817247,4.16734e+06,9.9369e+06,117318
tmt_unsym.mtx,dynamic,10000,1,6140301420,1.64223e+10,4.28461e+06,1.00739e+07,100116
tmt_unsym.mtx,dynamic,10000,2,6.16528e+09,1.64234e+10,4.36476e+06,1.0167e+07,109347
tmt_unsym.mtx,dynamic,10000,4,6206077181,1.64248e+10,4231137,1.01329e+07,107220
tmt_unsym.mtx,dynamic,10000,8,6.27641e+09,1.64278e+10,4.29614e+06,9.81032e+06,112845
tmt_unsym.mtx,dynamic,10000,16,6.43516e+09,1.64344e+10,4.23328e+06,9.90797e+06,114600
tmt_unsym.mtx,dynamic,10000,32,6.89702e+09,1.64531e+10,4.12646e+06,9.92761e+06,112751
tmt_unsym.mtx,dynamic,10000,64,1.29596e+10,1.6714e+10,4172597,9.84437e+06,117481
tmt_unsym.mtx,guided,1,1,6.13807e+09,1.64223e+10,4267503,1.01066e+07,99403.4
tmt_unsym.mtx,guided,1,2,6.20026e+09,1.64236e+10,4.34019e+06,1.01238e+07,107102
tmt_unsym.mtx,guided,1,4,6.20894e+09,16424736089,4.20301e+06,9.98144e+06,107627
tmt_unsym.mtx,guided,1,8,6274000138,1.64276e+10,4.20577e+06,9.91663e+06,110043
tmt_unsym.mtx,guided,1,16,6.43726e+09,1.64344e+10,4228125,9.96258e+06,114031
tmt_unsym.mtx,guided,1,32,7.13938e+09,16465719768,4.17913e+06,9.81185e+06,112059
tmt_unsym.mtx,guided,1,64,12377165305,1.66914e+10,4189124,9.90384e+06,118509
tmt_unsym.mtx,guided,10,1,6.13338e+09,1.64223e+10,4.2801e+06,1.01194e+07,101572
tmt_unsym.mtx,guided,10,2,6168642634,1.64234e+10,4.35414e+06,10139386,106956
tmt_unsym.mtx,guided,10,4,6193295039,1.64247e+10,4.10311e+06,1.00783e+07,106110
tmt_unsym.mtx,guided,10,8,6.27145e+09,1.64267e+10,4255955,1.00082e+07,114505
tmt_unsym.mtx,guided,10,16,6.41823e+09,1.6434e+10,4.17497e+06,9.74142e+06,111591
tmt_unsym.mtx,guided,10,32,7.23046e+09,1.64708e+10,4.10592e+06,9.88006e+06,110161
tmt_unsym.mtx,guided,10,64,1.18422e+10,1.66544e+10,4.15323e+06,9.79921e+06,117404
tmt_unsym.mtx,guided,100,1,6157491622,1.64223e+10,4.25398e+06,1.00487e+07,101542
tmt_unsym.mtx,guided,100,2,6.17811e+09,1.64235e+10,4363041,10035777,107828
tmt_unsym.mtx,guided,100,4,6.21685e+09,1.64251e+10,4.20938e+06,1.01229e+07,107700
tmt_unsym.mtx,guided,100,8,6.27677e+09,1.64271e+10,4.22108e+06,9997357,110418
