Matrix,Processes,T_Comm,T_Comp,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
weak_1p_256.mtx,1,0.000334,0.017357,0.000295,0.034184,2560,2560,2560.000000,0.000000
weak_2p_512.mtx,2,0.009894,0.042009,0.000244,0.034184,2560,2560,2560.000000,0.001953
weak_4p_1024.mtx,4,0.017571,0.029993,0.000683,0.034184,2560,2560,2560.000000,0.005859
weak_8p_2048.mtx,8,0.020409,0.024176,0.001694,0.034184,2560,2560,2560.000000,0.013672
weak_16p_4096.mtx,16,0.036192,0.021744,0.003768,0.034184,2560,2560,2560.000000,0.029297
weak_32p_8192.mtx,32,0.056267,0.020742,0.007899,0.034184,2560,2560,2560.000000,0.060547
weak_64p_16384.mtx,64,0.104809,0.022030,0.014874,0.034184,2560,2560,2560.000000,0.123047
weak_128p_32768.mtx,128,3.504133,0.263786,0.002484,0.034184,2560,2560,2560.000000,0.248047
