Matrix,Processes,T_Comm,T_Comp,Tot_Time,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
weak_1p_256.mtx,1,0.000954,0.008106,0.009060,0.631613,0.032230,2560,2560,2560.000000,0.000000
weak_2p_512.mtx,2,0.008106,0.015020,0.023127,0.681741,0.064461,2560,2560,2560.000000,0.008934
weak_4p_1024.mtx,4,0.014067,0.011206,0.025272,1.827646,0.128922,2560,2560,2560.000000,0.013245
weak_8p_2048.mtx,8,0.020027,0.010014,0.030041,4.090445,0.257843,2560,2560,2560.000000,0.015556
weak_16p_4096.mtx,16,0.030041,0.009060,0.039101,9.042036,0.515686,2560,2560,2560.000000,0.016663
weak_32p_8192.mtx,32,0.051975,0.009060,0.061035,18.084073,1.031372,2560,2560,2560.000000,0.017166
weak_64p_16384.mtx,64,0.080848,0.010014,0.090861,32.723560,2.062744,2560,2560,2560.000000,0.017372
weak_128p_32768.mtx,128,635.220814,0.614071,635.834885,1.067238,4.125488,2560,2560,2560.000000,0.017509
