Matrix,Processes,T_Comm,T_Comp,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
weak_1p_256.mtx,1,0.003028,0.014544,0.000352,0.034184,2560,2560,2560.000000,0.000000
weak_2p_512.mtx,2,0.006056,0.003529,0.002902,0.036137,2560,2560,2560.000000,0.001953
weak_4p_1024.mtx,4,0.014281,0.003815,0.005369,0.040043,2560,2560,2560.000000,0.005859
weak_8p_2048.mtx,8,0.030780,0.004292,0.009544,0.047855,2560,2560,2560.000000,0.013672
weak_16p_4096.mtx,16,0.080919,0.005674,0.014437,0.063480,2560,2560,2560.000000,0.029297
weak_32p_8192.mtx,32,0.218010,0.005627,0.029118,0.094730,2560,2560,2560.000000,0.060547
weak_64p_16384.mtx,64,0.686479,0.007820,0.041902,0.157230,2560,2560,2560.000000,0.123047
weak_128p_32768.mtx,128,11.412930,0.010824,0.060546,0.282230,2560,2560,2560.000000,0.248047
