Matrix,Processes,T_Comm,T_Comp,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
weak_1p_256.mtx,1,0.001240,0.003719,0.001377,0.034184,2560,2560,2560.000000,0.000000
weak_2p_512.mtx,2,0.004244,0.004101,0.002497,0.036137,2560,2560,2560.000000,0.001953
weak_4p_1024.mtx,4,0.012636,0.003958,0.005175,0.040043,2560,2560,2560.000000,0.005859
weak_8p_2048.mtx,8,0.031042,0.005913,0.006927,0.047855,2560,2560,2560.000000,0.013672
weak_16p_4096.mtx,16,0.081611,0.005150,0.015907,0.063480,2560,2560,2560.000000,0.029297
weak_32p_8192.mtx,32,0.194669,0.006342,0.025834,0.094730,2560,2560,2560.000000,0.060547
weak_64p_16384.mtx,64,0.512099,0.005960,0.054976,0.157230,2560,2560,2560.000000,0.123047
weak_128p_32768.mtx,128,12.234831,0.010490,0.062472,0.282230,2560,2560,2560.000000,0.248047
